Date,Close,chg(close),Low,chg(low),High,chg(high),MA,Exponential_Smoothing
2022-01-19 23:58:00,81.23,0.53,80.85,1.66,81.7,0.3,81.23,80.18841492467119
2022-01-20 23:58:00,81.54,0.31,80.38,-0.47,82.01,0.31,81.54,81.42756573169095
2022-01-21 23:58:00,80.98,-0.56,79.36,-1.02,81.08,-0.93,80.98,81.45305966385381
2022-01-24 23:58:00,79.62,-1.36,78.49,-0.87,81.7,0.62,79.62,81.16595537876944
2022-01-25 23:58:00,80.92,1.3,79.61,1.12,81.0,-0.7,80.92,79.99957621069925
2022-01-26 23:58:00,81.89,0.97,80.65,1.04,82.4,1.4,81.89,80.98485970809283
2022-01-27 23:58:00,81.18,-0.71,80.89,0.24,82.6,0.2,81.18,81.62240706167715
2022-01-28 23:58:00,81.1,-0.08,80.86,-0.03,82.46,-0.14,81.1,80.8826660282484
2022-01-31 23:58:00,81.62,0.52,81.0,0.14,81.91,-0.55,81.62,81.38925042739011
2022-02-01 23:58:00,81.57,-0.05,80.32,-0.68,82.02,0.11,81.57,81.51989898532223
2022-02-02 23:58:00,81.99,0.42,81.29,0.97,82.75,0.73,81.99,81.69776215346431
2022-02-03 23:58:00,83.27,1.28,80.98,-0.31,83.34,0.59,83.27,82.16510674133546
2022-02-04 23:58:00,84.52,1.25,83.39,2.41,84.78,1.44,84.52,83.3143404424734
2022-02-07 23:58:00,84.55,0.03,84.24,0.85,85.18,0.4,84.55,84.21897911755354
2022-02-08 23:58:00,83.11,-1.44,82.6,-1.64,84.61,-0.57,83.11,84.16663459258832
2022-02-09 23:58:00,84.09,0.98,82.56,-0.04,84.44,-0.17,84.09,83.54095896996509
2022-02-10 23:58:00,84.02,-0.07,83.62,1.06,85.18,0.74,84.02,83.95449417246525
2022-02-11 23:58:00,85.5,1.48,83.16,-0.46,86.04,0.86,85.5,84.14604861613287
2022-02-14 23:58:00,86.38,0.88,84.56,1.4,86.5,0.46,86.38,85.55700816371039
2022-02-15 23:58:00,83.55,-2.83,82.83,-1.73,85.73,-0.77,83.55,86.45569744876423
2022-02-16 23:58:00,84.46,0.91,82.28,-0.55,84.84,-0.89,84.46,83.70630155276399
2022-02-17 23:58:00,83.54,-0.92,82.76,0.48,84.01,-0.83,83.54,84.02961849922546
2022-02-18 23:58:00,84.25,0.71,82.16,-0.6,84.66,0.65,84.25,83.90788753911362
2022-02-22 23:58:00,85.79,1.54,83.65,1.49,87.74,3.08,85.79,84.13751165151407
2022-02-23 23:58:00,86.56,0.77,85.06,1.41,87.53,-0.21,86.56,85.73952230080982
2022-02-24 23:58:00,86.24,-0.32,85.2,0.14,92.04,4.51,86.24,86.67634854242912
2022-02-25 23:58:00,85.24,-1.0,84.48,-0.72,88.13,-3.91,85.24,86.45577883335827
2022-02-28 23:58:00,86.85,1.61,86.48,2.0,89.3,1.17,86.85,85.20832525457492
2022-03-01 23:58:00,89.0,2.15,87.16,0.68,90.5,1.2,89.0,86.32084539518357
2022-03-02 23:58:00,93.28,4.28,89.79,2.63,93.72,3.22,93.28,89.01541242511873
2022-03-03 23:58:00,93.46,0.18,92.39,2.6,96.31,2.59,93.46,92.73119929493535
2022-03-04 23:58:00,100.74,7.28,93.87,1.48,100.85,4.54,100.74,93.51226771559261
2022-03-07 23:58:00,103.0,2.26,99.72,5.85,108.5,7.65,103.0,100.1436443719089
2022-03-08 23:58:00,104.33,1.33,102.21,2.49,108.16,-0.34,104.33,102.84951837677454
2022-03-09 23:58:00,92.15,-12.18,94.92,-7.29,94.92,-13.24,92.15,103.99840958913855
2022-03-10 23:58:00,92.38,0.23,91.8,-3.12,96.72,1.8,92.38,93.12140062397889
2022-03-11 23:58:00,109.1,16.72,103.11,11.31,109.67,12.95,109.1,92.77589426221289
2022-03-14 23:58:00,91.96,-17.14,100.66,-2.45,109.03,-0.64,91.96,107.20977157480336
2022-03-15 23:58:00,89.46,-2.5,86.67,-13.99,90.98,-18.05,89.46,93.7896272717769
2022-03-16 23:58:00,87.53,-1.93,87.24,0.57,91.5,0.52,87.53,90.14921499747095
2022-03-17 23:58:00,93.04,5.51,93.08,5.84,93.54,2.04,93.04,87.98858766484683
2022-03-18 23:58:00,94.35,1.31,92.56,-0.52,95.03,1.49,94.35,92.31120087166141
2022-03-21 23:58:00,98.47,4.12,94.9,2.34,99.0,3.97,98.47,93.77667170913682
